INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
300412113,02/01/2025,05:05:00,QUEENS,OUTSIDE,104,0,STREET,(null),N,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1013701,195936,,,
303898920,03/30/2025,22:50:00,BROOKLYN,INSIDE,75,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),65+,M,BLACK,1017036,183890,0,0,POINT (0 0)
301565780,02/23/2025,19:50:00,BRONX,OUTSIDE,49,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK,1020860,251009,40.855571,-73.86766,POINT (-73.86766 40.855571)
299382241,01/13/2025,21:15:00,MANHATTAN,OUTSIDE,30,0,STREET,(null),N,18-24,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,997512,239558,40.824207,-73.95208,POINT (-73.95208 40.824207)
300131385,01/27/2025,19:16:00,BRONX,OUTSIDE,47,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1024745,262868,40.88809295982641,-73.85354344676429,POINT (-73.85354344676429 40.88809295982641)
301806225,02/27/2025,15:55:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1015108,246825,40.844108,-73.88847,POINT (-73.88847 40.844108)
298877584,01/04/2025,00:43:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,BAR/NIGHT CLUB,N,45-64,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,1015628,186760,40.679244,-73.886873,POINT (-73.886873 40.679244)
302972628,03/16/2025,15:41:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1001627,189572,40.687,-73.937344,POINT (-73.937344 40.687)
302197815,03/06/2025,16:50:00,BROOKLYN,OUTSIDE,63,0,STREET,GAS STATION,N,(null),(null),(null),UNKNOWN,M,BLACK,1006460,169245,40.631196,-73.919982,POINT (-73.919982 40.631196)
300131383,01/27/2025,16:30:00,QUEENS,INSIDE,107,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),18-24,M,BLACK,1051246,203301,40.724446,-73.758293,POINT (-73.758293 40.724446)
